2233,2233
i,j,v
6,0,1.8733707582701225e+21
11,0,2.7725887222397813e+20
20,0,8.664339756999316e+17
27,0,1.2602676010180824
36,0,1.1748257297626192e+21
55,0,1.6906028794145009e+21
56,0,6.301338005090412e+19
65,0,6.093601587340178
88,0,1.6646895401972457
99,0,0.1179824988187141
167,0,1.3622545745108752
196,0,3.0102391841460485
227,0,0.008664339756999317
271,0,0.012275851395116047
354,0,0.029812781959567543
377,0,0.24755256448569474
1412,0,8.664339756999316e-06
2,3,1.7813885212473375e-09
6,4,1.8733707582701225e+21
9,4,1.654289213746886
11,4,1.3862943611198906e+20
13,4,1.980420515885558e+16
16,4,0.0015057505732656304
19,4,1.800382287168689
23,4,0.5421646263785711
27,4,0.9315021398829305
41,4,1.1665871201569906e-06
42,4,4.155558636450511e-06
65,4,0.1713825446439425
87,4,7.876672506363015e-06
271,4,2.6305395846677244e-05
1238,4,9.591688146193688e-24
1265,4,3.474608563954109e-18
1296,4,2.1964508725630127e-16
1297,4,2.072170296110783e-19
1298,4,3.1378608251769834e-24
1299,4,1.0982254362815063e-23
1321,4,7.353992077700036e-12
1355,4,2.9443003167103276e-10
1357,4,1.2068418111666538e-14
1358,4,6.469787751642262e-16
1359,4,2.0337930565261072e-22
1383,4,7.808238839883903e-06
1384,4,6.109470341473876e-07
1385,4,2.7725887222397814e-06
1387,4,1.0387519979239594e-09
1416,4,0.0005800394816401216
1417,4,3.614175243143104e-05
1418,4,8.089953087767802e-08
1419,4,2.827944226242832e-09
1420,4,7.321657581428965e-15
1422,4,1.0982254362815064e-26
1439,4,0.0005140770189566961
1440,4,0.0015123211212216988
1441,4,2.931219420278376e-06
1442,4,2.2279730803712527e-06
1443,4,1.8549199084838388e-07
1444,4,6.042821574112344e-07
1478,4,0.009902102579427792
1479,4,1.4556710226236564e-05
1480,4,4.795357852930439e-07
1487,4,7.844474504193529e-23
1537,4,8.447883852976427e-23
1605,4,1.0982254362815063e-23
1666,4,1.9967712196441298e-25
1668,4,5.491144581794702e-26
1671,4,1.8613974449754157e-26
1721,4,1.9611119677686132e-22
1723,4,1.0982254362815063e-23
1781,4,9.864017569506914e-06
1782,4,8.886502314871094e-07
1783,4,1.70620844445525e-07
1785,4,6.677718502504291e-09
1788,4,9.256773244657388e-11
1792,4,3.379227674336707e-20
1810,4,7.067383017473952e-06
1812,4,1.3752920249205265e-06
1846,4,1.5068416968694465e-06
