entries=2233,dt=1.000000000000000e+05
i,zai,name,n_0,n_dt
0,10010,H1,1.000000000000000e+20,1.147149999999999e+21
1,10020,H2,1.000000000000000e+20,1.000000000000000e+20
2,10030,H3,1.000000000000000e+20,9.998218770136546e+19
3,20030,He3,1.000000000000000e+20,1.000178122986345e+20
4,20040,He4,1.000000000000000e+20,1.716073537079390e+22
5,20060,He6,1.000000000000000e+20,3.556963263470498e-33
6,30050,Li5,1.000000000000000e+20,0.000000000000000e+00
7,30060,Li6,1.000000000000000e+20,1.999999999999994e+20
8,30070,Li7,1.000000000000000e+20,1.044961234583096e+20
9,30080,Li8,1.000000000000000e+20,8.198971949470888e-33
10,30090,Li9,1.000000000000000e+20,0.000000000000000e+00
11,40060,Be6,1.000000000000000e+20,0.000000000000000e+00
12,40070,Be7,1.000000000000000e+20,9.850387654169056e+19
13,40080,Be8,1.000000000000000e+20,0.000000000000000e+00
14,40090,Be9,1.000000000000000e+20,1.504999999999999e+20
15,40100,Be10,1.000000000000000e+20,9.999999986272284e+19
16,40110,Be11,1.000000000000000e+20,0.000000000000000e+00
17,40120,Be12,1.000000000000000e+20,1.544673582757184e-89
18,40130,Be13,1.000000000000000e+20,0.000000000000000e+00
19,50080,B8,1.000000000000000e+20,4.170409701552397e-34
20,50090,B9,1.000000000000000e+20,0.000000000000000e+00
21,50100,B10,1.000000000000000e+20,3.000000001372771e+20
22,50110,B11,1.000000000000000e+20,2.969999999999994e+20
23,50120,B12,1.000000000000000e+20,3.673879954474173e-88
24,50130,B13,1.000000000000000e+20,2.397056968373710e-91
25,50140,B14,1.000000000000000e+20,0.000000000000000e+00
26,50150,B15,1.000000000000000e+20,0.000000000000000e+00
27,60090,C9,1.000000000000000e+20,0.000000000000000e+00
28,60100,C10,1.000000000000000e+20,5.194791487011537e-29
29,60110,C11,1.000000000000000e+20,3.700705516994449e-05
30,60120,C12,1.000000000000000e+20,4.955375660012871e+20
31,60130,C13,1.000000000000000e+20,3.028282900000001e+20
32,60140,C14,1.000000000000000e+20,2.935998868608296e+20
33,60150,C15,1.000000000000000e+20,0.000000000000000e+00
34,60160,C16,1.000000000000000e+20,0.000000000000000e+00
35,60170,C17,1.000000000000000e+20,2.033576622786889e-47
36,70110,N11,1.000000000000000e+20,0.000000000000000e+00
37,70120,N12,1.000000000000000e+20,6.975360215026823e-101
38,70130,N13,1.000000000000000e+20,0.000000000000000e+00
39,70140,N14,1.000000000000000e+20,3.000001131391701e+20
40,70150,N15,1.000000000000000e+20,5.039000000000001e+20
41,70160,N16,1.000000000000000e+20,0.000000000000000e+00
