entries=2233,dt=1.000000000000000e-18
i,zai,name,n_0,n_dt
0,10010,H1,1.000000000000000e+20,3.851235435399990e+18
1,10020,H2,1.000000000000000e+20,0.000000000000000e+00
2,10030,H3,1.000000000000000e+20,4.200000000000000e+18
3,20030,He3,1.000000000000000e+20,7.604808520634819e-09
4,20040,He4,1.000000000000000e+20,4.033369990719989e+18
5,20060,He6,1.000000000000000e+20,0.000000000000000e+00
6,30050,Li5,1.000000000000000e+20,1.565918274772152e-26
7,30060,Li6,1.000000000000000e+20,0.000000000000000e+00
8,30070,Li7,1.000000000000000e+20,0.000000000000000e+00
9,30080,Li8,1.000000000000000e+20,8.320000000000000e+20
10,30090,Li9,1.000000000000000e+20,0.000000000000000e+00
11,40060,Be6,1.000000000000000e+20,0.000000000000000e+00
12,40070,Be7,1.000000000000000e+20,0.000000000000000e+00
13,40080,Be8,1.000000000000000e+20,0.000000000000000e+00
14,40090,Be9,1.000000000000000e+20,0.000000000000000e+00
15,40100,Be10,1.000000000000000e+20,0.000000000000000e+00
16,40110,Be11,1.000000000000000e+20,0.000000000000000e+00
17,40120,Be12,1.000000000000000e+20,0.000000000000000e+00
18,40130,Be13,1.000000000000000e+20,0.000000000000000e+00
19,50080,B8,1.000000000000000e+20,0.000000000000000e+00
20,50090,B9,1.000000000000000e+20,0.000000000000000e+00
21,50100,B10,1.000000000000000e+20,0.000000000000000e+00
22,50110,B11,1.000000000000000e+20,0.000000000000000e+00
23,50120,B12,1.000000000000000e+20,0.000000000000000e+00
24,50130,B13,1.000000000000000e+20,0.000000000000000e+00
25,50140,B14,1.000000000000000e+20,0.000000000000000e+00
26,50150,B15,1.000000000000000e+20,0.000000000000000e+00
27,60090,C9,1.000000000000000e+20,0.000000000000000e+00
28,60100,C10,1.000000000000000e+20,0.000000000000000e+00
29,60110,C11,1.000000000000000e+20,0.000000000000000e+00
30,60120,C12,1.000000000000000e+20,1.800000000000000e+19
31,60130,C13,1.000000000000000e+20,0.000000000000000e+00
32,60140,C14,1.000000000000000e+20,4.321222298700000e+18
33,60150,C15,1.000000000000000e+20,0.000000000000000e+00
34,60160,C16,1.000000000000000e+20,0.000000000000000e+00
35,60170,C17,1.000000000000000e+20,0.000000000000000e+00
36,70110,N11,1.000000000000000e+20,0.000000000000000e+00
37,70120,N12,1.000000000000000e+20,0.000000000000000e+00
38,70130,N13,1.000000000000000e+20,0.000000000000000e+00
39,70140,N14,1.000000000000000e+20,1.692559795840825e-11
40,70150,N15,1.000000000000000e+20,5.076181272185859e-01
41,70160,N16,1.000000000000000e+20,0.000000000000000e+00
42,70170,N17,1.000000000000000e+20,0.000000000000000e+00
43,70180,N18,1.000000000000000e+20,0.000000000000000e+00
44,70190,N19,1.000000000000000e+20,0.000000000000000e+00
45,70200,N20,1.000000000000000e+20,0.000000000000000e+00
46,80140,O14,1.000000000000000e+20,0.000000000000000e+00
47,80150,O15,1.000000000000000e+20,8.823188810229999e+19
48,80160,O16,1.000000000000000e+20,0.000000000000000e+00
49,80170,O17,1.000000000000000e+20,0.000000000000000e+00
50,80180,O18,1.000000000000000e+20,0.000000000000000e+00
51,80190,O19,1.000000000000000e+20,0.000000000000000e+00
52,80200,O20,1.000000000000000e+20,0.000000000000000e+00
53,80210,O21,1.000000000000000e+20,0.000000000000000e+00
54,80220,O22,1.000000000000000e+20,0.000000000000000e+00
55,90150,F15,1.000000000000000e+20,0.000000000000000e+00
56,90160,F16,1.000000000000000e+20,0.000000000000000e+00
57,90170,F17,1.000000000000000e+20,0.000000000000000e+00
58,90180,F18,1.000000000000000e+20,0.000000000000000e+00
59,90190,F19,1.000000000000000e+20,0.000000000000000e+00
60,90200,F20,1.000000000000000e+20,0.000000000000000e+00
61,90210,F21,1.000000000000000e+20,0.000000000000000e+00
62,90220,F22,1.000000000000000e+20,0.000000000000000e+00
63,90230,F23,1.000000000000000e+20,0.000000000000000e+00
64,90240,F24,1.000000000000000e+20,0.000000000000000e+00
65,100170,Ne17,1.000000000000000e+20,0.000000000000000e+00
66,100180,Ne18,1.000000000000000e+20,0.000000000000000e+00
67,100190,Ne19,1.000000000000000e+20,0.000000000000000e+00
68,100200,Ne20,1.000000000000000e+20,0.000000000000000e+00
69,100210,Ne21,1.000000000000000e+20,0.000000000000000e+00
70,100220,Ne22,1.000000000000000e+20,0.000000000000000e+00
71,100230,Ne23,1.000000000000000e+20,0.000000000000000e+00
72,100240,Ne24,1.000000000000000e+20,0.000000000000000e+00
73,100250,Ne25,1.000000000000000e+20,0.000000000000000e+00
74,100260,Ne26,1.000000000000000e+20,0.000000000000000e+00
75,100270,Ne27,1.000000000000000e+20,0.000000000000000e+00
76,110200,Na20,1.000000000000000e+20,0.000000000000000e+00
77,110210,Na21,1.000000000000000e+20,0.000000000000000e+00
78,110220,Na22,1.000000000000000e+20,0.000000000000000e+00
79,110230,Na23,1.000000000000000e+20,0.000000000000000e+00
80,110240,Na24,1.000000000000000e+20,0.000000000000000e+00
81,110241,Na24m,1.000000000000000e+20,0.000000000000000e+00
82,110250,Na25,1.000000000000000e+20,0.000000000000000e+00
83,110260,Na26,1.000000000000000e+20,0.000000000000000e+00
84,110270,Na27,1.000000000000000e+20,0.000000000000000e+00
85,110280,Na28,1.000000000000000e+20,0.000000000000000e+00
86,110290,Na29,1.000000000000000e+20,0.000000000000000e+00
87,110300,Na30,1.000000000000000e+20,0.000000000000000e+00
88,120210,Mg21,1.000000000000000e+20,0.000000000000000e+00
89,120220,Mg22,1.000000000000000e+20,0.000000000000000e+00
90,120230,Mg23,1.000000000000000e+20,0.000000000000000e+00
91,120240,Mg24,1.000000000000000e+20,0.000000000000000e+00
92,120250,Mg25,1.000000000000000e+20,0.000000000000000e+00
93,120260,Mg26,1.000000000000000e+20,0.000000000000000e+00
94,120270,Mg27,1.000000000000000e+20,0.000000000000000e+00
95,120280,Mg28,1.000000000000000e+20,0.000000000000000e+00
96,120290,Mg29,1.000000000000000e+20,0.000000000000000e+00
97,120300,Mg30,1.000000000000000e+20,0.000000000000000e+00
98,120310,Mg31,1.000000000000000e+20,0.000000000000000e+00
99,130230,Al23,1.000000000000000e+20,0.000000000000000e+00
100,130240,Al24,1.000000000000000e+20,0.000000000000000e+00
101,130241,Al24m,1.000000000000000e+20,0.000000000000000e+00
