entries=2233
i,zai,name
0,10010,H1
1,10020,H2
2,10030,H3
3,20030,He3
4,20040,He4
5,20060,He6
6,30050,Li5
7,30060,Li6
8,30070,Li7
9,30080,Li8
10,30090,Li9
11,40060,Be6
12,40070,Be7
13,40080,Be8
14,40090,Be9
15,40100,Be10
16,40110,Be11
17,40120,Be12
18,40130,Be13
19,50080,B8
20,50090,B9
21,50100,B10
22,50110,B11
23,50120,B12
24,50130,B13
25,50140,B14
26,50150,B15
27,60090,C9
28,60100,C10
29,60110,C11
30,60120,C12
31,60130,C13
32,60140,C14
33,60150,C15
34,60160,C16
35,60170,C17
36,70110,N11
37,70120,N12
38,70130,N13
39,70140,N14
40,70150,N15
41,70160,N16
42,70170,N17
43,70180,N18
44,70190,N19
45,70200,N20
46,80140,O14
47,80150,O15
48,80160,O16
49,80170,O17
50,80180,O18
51,80190,O19
52,80200,O20
53,80210,O21
54,80220,O22
55,90150,F15
56,90160,F16
57,90170,F17
58,90180,F18
59,90190,F19
60,90200,F20
61,90210,F21
62,90220,F22
63,90230,F23
64,90240,F24
65,100170,Ne17
66,100180,Ne18
67,100190,Ne19
68,100200,Ne20
69,100210,Ne21
70,100220,Ne22
71,100230,Ne23
72,100240,Ne24
73,100250,Ne25
74,100260,Ne26
75,100270,Ne27
76,110200,Na20
77,110210,Na21
78,110220,Na22
79,110230,Na23
80,110240,Na24
81,110241,Na24m
82,110250,Na25
83,110260,Na26
84,110270,Na27
85,110280,Na28
86,110290,Na29
87,110300,Na30
88,120210,Mg21
89,120220,Mg22
90,120230,Mg23
91,120240,Mg24
92,120250,Mg25
93,120260,Mg26
94,120270,Mg27
95,120280,Mg28
96,120290,Mg29
97,120300,Mg30
98,120310,Mg31
99,130230,Al23
100,130240,Al24
101,130241,Al24m
102,130250,Al25
103,130260,Al26
104,130261,Al26m
105,130270,Al27
106,130280,Al28
107,130290,Al29
108,130300,Al30
109,130310,Al31
110,130320,Al32
111,130330,Al33
112,130340,Al34
113,140250,Si25
114,140260,Si26
115,140270,Si27
116,140280,Si28
117,140290,Si29
118,140300,Si30
119,140310,Si31
120,140320,Si32
121,140330,Si33
122,140340,Si34
123,140350,Si35
124,140360,Si36
125,150280,P28
126,150290,P29
127,150300,P30
128,150310,P31
129,150320,P32
130,150330,P33
131,150340,P34
132,150350,P35
133,150360,P36
134,150370,P37
135,150380,P38
136,150390,P39
137,150400,P40
138,160290,S29
139,160300,S30
140,160310,S31
141,160320,S32
142,160330,S33
143,160340,S34
144,160350,S35
145,160360,S36
146,160370,S37
147,160380,S38
148,160390,S39
149,160400,S40
150,160410,S41
151,170320,Cl32
152,170330,Cl33
153,170340,Cl34
154,170341,Cl34m
155,170350,Cl35
156,170360,Cl36
157,170370,Cl37
158,170380,Cl38
159,170381,Cl38m
160,170390,Cl39
161,170400,Cl40
162,170410,Cl41
163,170420,Cl42
164,170430,Cl43
165,170440,Cl44
166,170450,Cl45
167,180330,Ar33
168,180340,Ar34
169,180350,Ar35
170,180360,Ar36
171,180370,Ar37
172,180380,Ar38
173,180390,Ar39
174,180400,Ar40
175,180410,Ar41
176,180420,Ar42
177,180430,Ar43
178,180440,Ar44
179,180450,Ar45
180,180460,Ar46
181,180470,Ar47
182,190360,K36
183,190370,K37
184,190380,K38
185,190381,K38m
186,190390,K39
187,190400,K40
188,190410,K41
189,190420,K42
190,190430,K43
191,190440,K44
192,190450,K45
193,190460,K46
194,190470,K47
195,190480,K48
196,200370,Ca37
197,200380,Ca38
198,200390,Ca39
199,200400,Ca40
200,200410,Ca41
201,200420,Ca42
202,200430,Ca43
203,200440,Ca44
204,200450,Ca45
205,200460,Ca46
206,200470,Ca47
207,200480,Ca48
208,200490,Ca49
209,210400,Sc40
210,210410,Sc41
211,210420,Sc42
212,210421,Sc42m
213,210430,Sc43
214,210440,Sc44
215,210441,Sc44m
216,210450,Sc45
217,210451,Sc45m
218,210460,Sc46
